date Thu Jun 17 8:36:23 am 2021
base hex  no internal events logged
// version 7.1.0
30985.617100 1 18FEEE03x Rx d 1 00 
30986.615500 1 18FEEE03x Rx d 1 01 
30987.613900 1 18FEEE03x Rx d 1 02 
30988.612300 1 18FEEE03x Rx d 1 03 
30989.636300 1 18FEEE03x Rx d 1 04 
30990.634700 1 18FEEE03x Rx d 1 05 
30991.633100 1 18FEEE03x Rx d 1 06 
30992.631500 1 18FEEE03x Rx d 1 07 
30993.629900 1 18FEEE03x Rx d 1 08 
30994.653900 1 18FEEE03x Rx d 1 09 
30995.652300 1 18FEEE03x Rx d 1 0A 
30996.650700 1 18FEEE03x Rx d 1 0B 
30997.649100 1 18FEEE03x Rx d 1 0C 
30998.647500 1 18FEEE03x Rx d 1 0D 
30999.645900 1 18FEEE03x Rx d 1 0E 
31000.644300 1 18FEEE03x Rx d 1 0F 
31001.642700 1 18FEEE03x Rx d 1 10 
31002.641100 1 18FEEE03x Rx d 1 11 
31003.665100 1 18FEEE03x Rx d 1 12 
31004.663500 1 18FEEE03x Rx d 1 13 
31005.661900 1 18FEEE03x Rx d 1 14 
31006.660300 1 18FEEE03x Rx d 1 15 
31007.658700 1 18FEEE03x Rx d 1 16 
31008.657100 1 18FEEE03x Rx d 1 17 
31009.655500 1 18FEEE03x Rx d 1 18 
31010.653900 1 18FEEE03x Rx d 1 19 
31011.652300 1 18FEEE03x Rx d 1 1A 
31012.676300 1 18FEEE03x Rx d 1 1B 
31013.674700 1 18FEEE03x Rx d 1 1C 
31014.673100 1 18FEEE03x Rx d 1 1D 
31015.671500 1 18FEEE03x Rx d 1 1E 
31016.669900 1 18FEEE03x Rx d 1 1F 
31017.668300 1 18FEEE03x Rx d 1 20 
31018.666700 1 18FEEE03x Rx d 1 21 
31019.665100 1 18FEEE03x Rx d 1 22 
31020.689100 1 18FEEE03x Rx d 1 23 
31021.687500 1 18FEEE03x Rx d 1 24 
31022.685900 1 18FEEE03x Rx d 1 25 
31023.684300 1 18FEEE03x Rx d 1 26 
31024.682700 1 18FEEE03x Rx d 1 27 
31025.681100 1 18FEEE03x Rx d 1 28 
31026.679500 1 18FEEE03x Rx d 1 29 
31027.703500 1 18FEEE03x Rx d 1 2A 
31028.701900 1 18FEEE03x Rx d 1 2B 
31029.700300 1 18FEEE03x Rx d 1 2C 
31030.698700 1 18FEEE03x Rx d 1 2D 
31031.697100 1 18FEEE03x Rx d 1 2E 
31032.695500 1 18FEEE03x Rx d 1 2F 
31033.719500 1 18FEEE03x Rx d 1 30 
31034.717900 1 18FEEE03x Rx d 1 31 
31035.716300 1 18FEEE03x Rx d 1 32 
31036.714700 1 18FEEE03x Rx d 1 33 
31037.738700 1 18FEEE03x Rx d 1 34 
31038.737100 1 18FEEE03x Rx d 1 35 
31039.735500 1 18FEEE03x Rx d 1 36 
31040.733900 1 18FEEE03x Rx d 1 37 
31041.732300 1 18FEEE03x Rx d 1 38 
31042.756300 1 18FEEE03x Rx d 1 39 
31043.754700 1 18FEEE03x Rx d 1 3A 
31044.753100 1 18FEEE03x Rx d 1 3B 
31045.751500 1 18FEEE03x Rx d 1 3C 
31046.749900 1 18FEEE03x Rx d 1 3D 
31047.748300 1 18FEEE03x Rx d 1 3E 
31048.746700 1 18FEEE03x Rx d 1 3F 
31049.745100 1 18FEEE03x Rx d 1 40 
31050.769100 1 18FEEE03x Rx d 1 41 
31051.767500 1 18FEEE03x Rx d 1 42 
31052.765900 1 18FEEE03x Rx d 1 43 
31053.764300 1 18FEEE03x Rx d 1 44 
31054.762700 1 18FEEE03x Rx d 1 45 
31055.761100 1 18FEEE03x Rx d 1 46 
31056.785100 1 18FEEE03x Rx d 1 47 
31057.783500 1 18FEEE03x Rx d 1 48 
31058.781900 1 18FEEE03x Rx d 1 49 
31059.780300 1 18FEEE03x Rx d 1 4A 
31060.778700 1 18FEEE03x Rx d 1 4B 
31061.777100 1 18FEEE03x Rx d 1 4C 
31062.775500 1 18FEEE03x Rx d 1 4D 
31063.773900 1 18FEEE03x Rx d 1 4E 
31064.797900 1 18FEEE03x Rx d 1 4F 
31065.796300 1 18FEEE03x Rx d 1 50 
31066.794700 1 18FEEE03x Rx d 1 51 
31067.793100 1 18FEEE03x Rx d 1 52 
31068.791500 1 18FEEE03x Rx d 1 53 
31069.789900 1 18FEEE03x Rx d 1 54 
31070.813900 1 18FEEE03x Rx d 1 55 
31071.812300 1 18FEEE03x Rx d 1 56 
31072.810700 1 18FEEE03x Rx d 1 57 
31073.809100 1 18FEEE03x Rx d 1 58 
31074.807500 1 18FEEE03x Rx d 1 59 
31075.831500 1 18FEEE03x Rx d 1 5A 
31076.829900 1 18FEEE03x Rx d 1 5B 
31077.828300 1 18FEEE03x Rx d 1 5C 
31078.826700 1 18FEEE03x Rx d 1 5D 
31079.850700 1 18FEEE03x Rx d 1 5E 
31080.849100 1 18FEEE03x Rx d 1 5F 
31081.847500 1 18FEEE03x Rx d 1 60 
31082.845900 1 18FEEE03x Rx d 1 61 
31083.844300 1 18FEEE03x Rx d 1 62 
31084.842700 1 18FEEE03x Rx d 1 63 
31085.841100 1 18FEEE03x Rx d 1 64 
31086.839500 1 18FEEE03x Rx d 1 65 
31087.837900 1 18FEEE03x Rx d 1 66 
31088.861900 1 18FEEE03x Rx d 1 67 
31089.860300 1 18FEEE03x Rx d 1 68 
31090.858700 1 18FEEE03x Rx d 1 69 
31091.857100 1 18FEEE03x Rx d 1 6A 
31092.855500 1 18FEEE03x Rx d 1 6B 
31093.853900 1 18FEEE03x Rx d 1 6C 
31094.852300 1 18FEEE03x Rx d 1 6D 
31095.850700 1 18FEEE03x Rx d 1 6E 
31096.849100 1 18FEEE03x Rx d 1 6F 
31097.873100 1 18FEEE03x Rx d 1 70 
31098.871500 1 18FEEE03x Rx d 1 71 
31099.869900 1 18FEEE03x Rx d 1 72 
31100.868300 1 18FEEE03x Rx d 1 73 
31101.866700 1 18FEEE03x Rx d 1 74 
31102.865100 1 18FEEE03x Rx d 1 75 
31103.863500 1 18FEEE03x Rx d 1 76 
31104.861900 1 18FEEE03x Rx d 1 77 
31105.885900 1 18FEEE03x Rx d 1 78 
31106.884300 1 18FEEE03x Rx d 1 79 
31107.882700 1 18FEEE03x Rx d 1 7A 
31108.881100 1 18FEEE03x Rx d 1 7B 
31109.905100 1 18FEEE03x Rx d 1 7C 
31110.903500 1 18FEEE03x Rx d 1 7D 
31111.901900 1 18FEEE03x Rx d 1 7E 
31112.900300 1 18FEEE03x Rx d 1 7F 
31113.898700 1 18FEEE03x Rx d 1 80 
31114.897100 1 18FEEE03x Rx d 1 81 
31115.895500 1 18FEEE03x Rx d 1 82 
31116.919500 1 18FEEE03x Rx d 1 83 
31117.917900 1 18FEEE03x Rx d 1 84 
31118.916300 1 18FEEE03x Rx d 1 85 
31119.914700 1 18FEEE03x Rx d 1 86 
31120.913100 1 18FEEE03x Rx d 1 87 
31121.911500 1 18FEEE03x Rx d 1 88 
31122.909900 1 18FEEE03x Rx d 1 89 
31123.933900 1 18FEEE03x Rx d 1 8A 
31124.932300 1 18FEEE03x Rx d 1 8B 
31125.930700 1 18FEEE03x Rx d 1 8C 
31126.929100 1 18FEEE03x Rx d 1 8D 
31127.927500 1 18FEEE03x Rx d 1 8E 
31128.925900 1 18FEEE03x Rx d 1 8F 
31129.924300 1 18FEEE03x Rx d 1 90 
31130.922700 1 18FEEE03x Rx d 1 91 
31131.946700 1 18FEEE03x Rx d 1 92 
31132.945100 1 18FEEE03x Rx d 1 93 
31133.943500 1 18FEEE03x Rx d 1 94 
31134.941900 1 18FEEE03x Rx d 1 95 
31135.940300 1 18FEEE03x Rx d 1 96 
31136.964300 1 18FEEE03x Rx d 1 97 
31137.962700 1 18FEEE03x Rx d 1 98 
